# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.75,2.75,0.0,0,3.0,0,180.0,0.0,0.0
 0.08576769027833812,1.7610341450435214,2.75,0.0,0.25730307083501436,3.0,0,180.0,0.0,0.0
 0.12080776935679868,1.7718917757054482,2.75,0.0,0.3624233080703961,3.0000000000000013,0,180.0,0.0,0.0
 0.14736427378631461,1.7825743437828518,2.75,0.0,0.4420928213589439,3.000000000000001,0,180.0,0.0,0.0
 0.16947625413373774,1.793083301072805,2.75,0.0,0.5084287624012133,3.0,0,180.0,0.0,0.0
 0.18871512812063057,1.803420099372379,2.75,0.0,0.5661453843618917,2.9999999999999942,0,180.0,0.0,0.0
 0.20589024661802435,1.8135861904786463,2.75,0.0,0.6176707398540731,3.000000000000003,0,180.0,0.0,0.0
 0.22148442562052223,1.823583026188679,2.75,0.0,0.6644532768615666,2.9999999999999964,0,180.0,0.0,1.9834899131464e-12
 0.23581356802857148,1.8334120582995486,2.75,0.0,0.7074407040857145,3.0000000000000058,0,180.00000000000003,0.0,-2.1394710273681847e-12
 0.24909802435765122,1.8430747386083275,2.75,0.0,0.7472940730729536,2.999999999999994,0,180.0,0.0,0.0
 0.2614989087448071,1.8525725189120874,2.75,0.0,0.7844967262344212,3.0000000000000044,0,180.0,0.0,0.0
 0.2731383666543398,1.8619068510079009,2.75,0.0,0.8194150999630195,3.000000000000005,0,180.0,0.0,0.0
 0.2841116995043083,1.8710791866928396,2.75,0.0,0.8523350985129249,2.99999999999999,0,180.0,0.0,0.0
 0.2944950228939647,1.8800909777639752,2.75,0.0,0.883485068681894,3.0000000000000053,0,180.0,0.0,2.883901807658195e-12
 0.30435032010100904,1.88894367601838,2.75,0.0,0.9130509603030271,3.0,0,180.00000000000003,0.0,-3.030492065877932e-12
 0.3137288991609645,1.897638733253126,2.75,0.0,0.9411866974828935,2.9999999999999942,0,180.0,0.0,0.0
 0.3226738304286909,1.9061776012652853,2.75,0.0,0.9680214912860727,3.000000000000006,0,180.0,0.0,0.0
 0.3312217100895108,1.91456173185193,2.75,0.0,0.9936651302685324,3.0000000000000067,0,180.0,0.0,0.0
 0.3394039646302829,1.9227925768101315,2.75,0.0,1.0182118938908487,2.9999999999999933,0,180.0,0.0,-3.6234294539542377e-12
 0.34724783458596464,1.9308715879369622,2.75,0.0,1.041743503757894,3.0,0,179.99999999999997,0.0,3.774817051990012e-12
 0.3547771291289732,1.9388002170294942,2.75,0.0,1.0643313873869196,3.0,0,180.0,0.0,0.0
 0.3620128136634573,1.9465799158847996,2.75,0.0,1.0860384409903718,3.0,0,180.0,0.0,0.0
 0.36897347357224297,1.95421213629995,2.75,0.0,1.1069204207167287,2.999999999999968,0,180.0,0.0,0.0
 0.3756756846643284,1.9616983300720179,2.75,0.0,1.127027053992985,3.0000000000000084,0,180.0,0.0,4.4005802579432825e-12
 0.38213431233714523,1.9690399489980743,2.75,0.0,1.1464029370114355,2.9999999999999916,0,180.00000000000003,0.0,-4.563212403319356e-12
 0.3883627555736971,1.9762384448751928,2.75,0.0,1.1650882667210911,3.000000000000009,0,180.0,0.0,-4.728761217637416e-12
 0.39437314775091176,1.9832952695004438,2.75,0.0,1.1831194432527352,3.0000000000000187,0,179.99999999999997,0.0,0.0
 0.4001765232751669,1.9902118746709003,2.75,0.0,1.2005295698255005,2.999999999999981,0,179.99999999999997,0.0,1.0138962220147713e-11
 0.4057829569146819,1.996989712183634,2.75,0.0,1.2173488707440456,3.0000000000000098,0,180.00000000000003,0.0,-5.245092450850956e-12
 0.411201681121496,2.003630233835717,2.75,0.0,1.233605043364488,3.0000000000000204,0,180.0,0.0,0.0
 0.41644118546258196,2.010134891424221,2.75,0.0,1.2493235563877458,2.9999999999999893,0,180.0,0.0,0.0
 0.4215093013969508,2.0165051367462183,2.75,0.0,1.2645279041908524,3.0,0,180.0,0.0,0.0
 0.4264132749643869,2.022742421598781,2.75,0.0,1.2792398248931607,3.0,0,180.0,0.0,0.0
 0.43115982943604586,2.0288481977789803,2.75,0.0,1.2934794883081375,3.0,0,180.0,0.0,0.0
 0.43575521957775754,2.0348239170838895,2.75,0.0,1.3072656587332725,2.999999999999988,0,180.0,0.0,0.0
 0.44020527886474325,2.0406710313105796,2.75,0.0,1.3206158365942295,2.999999999999975,0,180.0,0.0,0.0
 0.4445154607405857,2.0463909922561228,2.75,0.0,1.3335463822217568,3.0,0,180.0,0.0,0.0
 0.44869087481813236,2.0519852517175914,2.75,0.0,1.3460726244543968,2.9999999999999867,0,180.0,0.0,0.0
 0.45273631876406595,2.057455261492057,2.75,0.0,1.3582089562921977,3.0000000000000413,0,180.0,0.0,0.0
 0.4566563064834005,2.062802473376592,2.75,0.0,1.3699689194502014,3.0,0,180.0,0.0,0.0
 0.46045509311858596,2.0680283391682686,2.75,0.0,1.3813652793557578,3.0000000000000147,0,180.0,0.0,0.0
 0.4641366972952099,2.073134310664158,2.75,0.0,1.3924100918856297,3.000000000000015,0,180.0,0.0,0.0
 0.4677049209785537,2.078121839661333,2.75,0.0,1.403114762935661,2.9999999999999845,0,180.0,0.0,0.0
 0.47116336724952373,2.0829923779568644,2.75,0.0,1.4134901017485713,3.000000000000032,0,180.0,0.0,0.0
 0.47451545626236846,2.0877473773478257,2.75,0.0,1.4235463687871055,3.0000000000000164,0,180.0,0.0,0.0
